post likes,post date,post caption,comments,time per comment,user per comment,likes per comment,num of comments
228,"Dec 19, 2023","Transform your data science skills with our comprehensive #Python cheat sheet library. 🐍

👉 Each cheat sheet is designed to provide value to Python programmers of all levels, whether you're just starting out or already have advanced skills.

Full of practical insights and real-world use cases that will enable you to stay ahead of the curve—keep up to date with the latest news, techniques, and advancements in Python heading into 2024. 📈

Download any PDF for free and keep the power of Python at your fingertips ➡️ 🔗 in bio.","['Hi, I am trying to make the annual subscription using PayPal but am not able.']",['3w'],['sammie_njau'],['0'],1
158,"Nov 14, 2023","Master machine learning and AI in Python with our collection of free cheat sheets. 👇

As the AI revolution gathers pace, having the skills to integrate AI and machine learning into your data science workflows will help you stay competitive in an evolving field.

Save these down as a handy reference guide:

💥 Scikit-Learn Cheat Sheet: Python Machine Learning: https://ow.ly/MqAq50Q7tQ4

💥 Keras Cheat Sheet: Neural Networks in Python:
https://ow.ly/pZQg50Q7tQ3

💥 The OpenAI API in Python: https://ow.ly/hLr650Q7tQ2

💥 Deep Learning with PyTorch Cheat Sheet: https://ow.ly/Lw2S50Q7tQ7",[],[],[],[],0
96,"Nov 21, 2023","🎓 90,000 scholarships now donated
🌍 across 150 countries
📚 we've helped 1 MILLION teachers, students, and disadvantaged learners
👩🏽‍💻 with unlimited data and AI learning for each, for free.

This is the #DCDonates Q3 2023 Digest: A reflection on our mission to democratize data and AI education by providing free access to in-demand skills to those who need it most.

👉 Swipe through for Q3 highlights. 👉

Looking back at our third biggest quarter for scholarships—alongside reaching 1 million learners—the surging demand for data and AI learning makes us more determined to expand our free program and enhance #DCDonates' impact.

Currently, most partner orgs come from NGOs in Nigeria, Pakistan, Egypt, and the Philippines. For Q4 2023, our goal is to help more disadvantaged learners in the Western Hemisphere while still providing for our current partners.

Learning is one of the most effective long-term strategies to improve lives. If you're a nonprofit looking to empower your community with unlimited data and AI learning—including 450+ courses, career tracks, and certifications—please apply to partner by 9 AM ET on Thurs, Feb 1, 2024.

Here's to Q4, 2024, and beyond. Discover more, 🔗 in bio.

Apply now 👉 https://ow.ly/l1Cg50Q9YLa","['Great work ❤️❤️❤️❤️❤️', '❤️❤️❤️']","['7w', '7w']","['credslife_', 'sadie.stlawrence']","['1 like', '1 like']",2
31,"Nov 13, 2023","What can “The Geek Way” teach us when forming the ideal company culture?

Andrew McAfee—Principal Research Scientist at @mit the inaugural Visiting Fellow at @google’s Technology and Society organization, and prolific writer—explores the four cultural norms of The Geek Way, the evolutionary biological traits high-performing organizations show, how data drives high-performance teams, and more.

Key takeaways:

💥 Focus on group dynamics: Create norms and values that align with the organization’s goals, encouraging collaboration and knowledge sharing among teams.

💥 Lead by example: Embrace data-driven decision-making and encourage others to do the same.

💥 Challenge hierarchical decision-making: Encourage a culture where evidence and examination are valued over hierarchical authority.

🎧 Listen to the full episode, 🔗 in bio.",[],[],[],[],0
89,"Dec 7, 2023","Learn #AI (for free) from leaders at world-class organizations. 👇

The quality of responses from GPT or other large language models highly depends on the quality of messages you send.

Tap into Olivier Mertens', AI Tech Lead at Microsoft, vital code-along on performing sentiment analysis with #GPT and #LangChain. Learn about how MRKL prompts are used to help LLMs reason and build a simple AI agent.

Get this for free in our new AI Developer Code-Along series.

All sessions are free for a limited time. Start now 👉 🔗.

#ArtificialIntelligence #ChatGPT",[],[],[],[],0
168,"Dec 5, 2023","One of the best ways to land a job in data science is to build a portfolio with data science projects that effectively show your technical skills.

With the boom of #ChatGPT, showing the recruiter that you can solve NLP problems is vital for up-and-coming practitioners. 🚀

Explore seven examples of NLP projects for all levels, from the aspiring data scientist to the experienced professional.

👉 Swipe for a selection of DataCamp's NLP projects. 👉

Discover more 👉🔗 in bio.",[],[],[],[],0
79,"Dec 7, 2023","Brand new skill track: Equip yourself with the knowledge and tools necessary to make an immediate impact in the fast-paced world of Artificial Intelligence (AI). 🚀

Designed for professionals who want to harness AI to stay ahead of the competition, work through seven interactive courses (no prior experience required) on AI strategy to ensure you'll be at the forefront of the AI revolution heading into 2024.

👉 Swipe for the individual courses. 👉

Start now for free, 🔗 in bio.",['Awesome 👏🏻'],['5w'],['mahmoud_arafa90'],['0'],1
84,"Nov 30, 2023","How the world can change in one year: #ChatGPT is one year old today. 🎂

Dive into our collection of resources to ensure you're maximizing the AI revolution. Alongside, our brand new code-along series connects aspiring and seasoned developers alike with industry experts to master four vital packages: #OpenAI API, #HuggingFace, #Pinecone, & #LangChain.

In the spirit of ""Open AI"", it's completely free.

1️⃣ Cheat Sheet: ChatGPT for Data Science: https://ow.ly/QTAu50Qe5xi

2️⃣ Tutorial: A Guide to Using ChatGPT For Data Science Projects: https://ow.ly/futc50Qe5xh

3️⃣ Code-Along Series: Become an AI Developer: https://ow.ly/JHHw50Qe5xj

#GenerativeAI #ArtificialIntelligence",[],[],[],[],0
28,"Nov 23, 2023","Large language models (LLMs) can be incredibly transformative for surfacing company data and insights. However, the path to enriching a company's knowledge base with LLMs still needs to be explored.

@Deloitte's Gert De Geyter, Machine Learning Lead, and Somayeh Koohbor, Senior Data Scientist, break down the interaction between LLMs and Knowledge Graphs (KGs). They demonstrate how LLMs can transform unstructured text into a well-formed KG by extracting entities and relationships from a dataset, how companies can leverage them, and more.

Key takeaways:

💥 How LLMs can unlock the potential of building organizational KGs.
💥 Why KGs can further guide LLMs' reasoning capabilities.
💥 Using pre-trained models for translating natural language queries to SPARQL queries on top of company KGs

⏰ Thurs Nov 30, 🔗 in bio to register.",[],[],[],[],0
32,"Nov 27, 2023","How can data and AI help us accelerate sustainable solutions and act as a force for good? 💚

@margahoek's—sustainable business visionary, author, and three-time CEO—explores the fourth industrial revolution and the eight technologies that combine to build it, how technology can be the biggest lever to combating climate change, use cases of tech for good initiatives, and more.

Key takeaways:

💥 AI extends beyond replicating human intelligence; it's crucial in enhancing technologies like self-driving cars, systems to prevent overfishing, monitoring plant life, and more.

💥 Get ready for labor transition: The World Economic Forum predicts that AI and emerging technologies will disrupt 25% of jobs.

💥 Collaboration among stakeholders is essential for trust in tech for good initiatives. Business leaders must commit to using technology ethically.

Listen to (or watch) the full episode 👉 https://ow.ly/UCwb50QbHoW",['Great to be on the show'],['6w'],['margahoek'],['0'],1
